"growthCenter","seedTrips","estNew","scale_fac"
1,857324,396456.8698,2.162464735
2,48586,23248.44116,2.089860549
3,655197.5,275065.8806,2.381965726
4,36857.5,23119.19712,1.594237888
5,1368784.5,870224.1422,1.572910281
6,5183274,2984637.5,1.736651101
7,21323.5,11524.86271,1.850217269
8,318956,256728.0718,1.242388484
9,237391.5,187338.7146,1.267178012
10,304122,241797.8562,1.257753087
11,946282.5,554830.5984,1.70553409
12,143431.5,75254.45797,1.905953532
13,6017373,4013059.647,1.499447686
14,45866.5,28922.72531,1.585829119
15,13619.5,13419.3714,1.014913411
16,3275169.5,1529680.178,2.141081219
17,1045228.5,479145.0687,2.181444761
18,149610.5,136264.6455,1.097940698
19,19476.5,11228.49178,1.73456065
20,54698,42485.79247,1.28744215
21,15322.5,14066.61086,1.089281573
22,3854.5,9701.817709,0.397296684
23,17406.5,13586.0041,1.281208211
24,19329.5,11241.97241,1.719404683
25,32707,21689.82612,1.50794201
26,35691,36115.79012,0.988238105
27,294527.5,228765.5017,1.287464665
28,131900,123558.1555,1.067513508
29,3263715,2164124.357,1.508099564
30,29516.5,16678.63586,1.769719074
31,312839.5,232002.4693,1.348431769
32,88278.5,46108.89789,1.914565389
33,33227,12949.19461,2.565951088
34,5526,5979.072799,0.924223569
35,516505.5,403653.9588,1.279574964
36,1678058,1046250.536,1.603877793
37,961881.5,461803.5418,2.082880301
38,27775.5,37483.64549,0.741003166
39,4960.5,6213.417705,0.798352893
40,21360.5,16728.04857,1.276927187
41,759110.5,536882.6702,1.413922524
42,655021.5,449610.2504,1.456865139
43,385015.5,254646.6966,1.511959531
44,171815.5,135345.8029,1.269455693
45,119671.5,87914.58253,1.361224686
46,403862,302006.4319,1.33726291
47,75115.5,42823.90406,1.754055396
48,3557365.5,2109492.587,1.686360749
49,823716,389363.6563,2.115544136
50,3378731.5,2322693.788,1.454660755
51,896723,668556.6822,1.341281934
52,2175305,1681492.292,1.293675273
53,1223457.5,842905.8455,1.451475875
54,95964.5,69703.567,1.376751637
55,492682,289922.2409,1.699359106
56,557060,407481.495,1.367080485
57,227584.5,204975.9331,1.110298641
58,971221,704377.2374,1.378836437
59,1047741,691672.0037,1.514794577
60,206853,173344.2954,1.193307224
61,46204,40676.18352,1.13589811
62,24568.5,20029.76623,1.226599438
63,10528,10610.46522,0.992227935
64,1150689.5,764477.4765,1.505197387
65,33535,24316.12472,1.379126007
66,112925.5,85314.98743,1.323630272
67,25653,20769.20965,1.235145701
